NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,agama,status_perkawinan,pekerjaan,kewarganegaraan
4364615789962534,Nadia Sinaga,Tegal,1933-08-07,Perempuan,A,"Gang Kapten Muslihat No. 74
Prabumulih, Kalimantan Timur 90181",Hindu,menikah,Tidak Bekerja,WNA
5402930043727591,Halim Samosir,Kediri,2020-04-22,Laki-Laki,AB,"Gang Pasirkoja No. 6
Lhokseumawe, SG 33476",Islam,cerai,PNS,WNA
4286447896724742,Ana Wahyudin,Binjai,1930-12-09,Perempuan,O,"Gg. Gegerkalong Hilir No. 62
Jambi, Kalimantan Tengah 26257",Hindu,menikah,Tidak Bekerja,WNI
0725660984023828,Galak Wulandari,Padangpanjang,1980-12-21,Laki-Laki,B,"Jl. Cikutra Barat No. 410
Magelang, Aceh 97671",Islam,menikah,Pelajar,WNI
9168443789448067,Cahyanto Safitri,Bandar Lampung,1987-11-21,Laki-Laki,O,"Jl. Monginsidi No. 19
Bogor, ST 67546",Hindu,cerai,Mahasiswa,WNI
5535160425118994,Najwa Damanik,Palembang,1990-04-23,Perempuan,B,"Gang Pelajar Pejuang No. 9
Madiun, Kalimantan Timur 10007",Kristen,cerai,Tidak Bekerja,WNA
5474947516164442,Bella Rahimah,Langsa,1912-06-19,Laki-Laki,AB,"Jalan Kutai No. 6
Mataram, Papua 68960",Katolik,belum menikah,Tidak Bekerja,WNI
8331125174994346,"Tgk. Kartika Mandasari, S.T.",Tangerang,2002-10-26,Perempuan,B,"Jl. Pelajar Pejuang No. 752
Singkawang, JI 27333",Hindu,cerai,PNS,WNA
7699691876926640,Cakrabuana Prakasa,Probolinggo,2002-01-08,Laki-Laki,A,"Jalan Raya Setiabudhi No. 896
Bitung, Nusa Tenggara Barat 74636",Konghucu,belum menikah,Mahasiswa,WNI
6510950783680880,"Ifa Wulandari, S.H.",Banjarbaru,1976-11-13,Perempuan,A,"Gg. Cikutra Barat No. 9
Palopo, AC 34449",Kristen,menikah,Wiraswasta,WNI
8667178380536365,"dr. Chandra Mangunsong, S.IP",Tegal,1991-03-20,Perempuan,A,"Jl. Tubagus Ismail No. 2
Meulaboh, PA 21733",Buddha,belum menikah,Wiraswasta,WNI
2689405146394783,Karna Anggriawan,Prabumulih,1954-07-04,Perempuan,B,"Jl. Pacuan Kuda No. 8
Probolinggo, SU 73944",Hindu,belum menikah,Tidak Bekerja,WNA
2304523753134172,"Tirta Iswahyudi, M.Kom.",Palangkaraya,1960-06-07,Perempuan,AB,"Gg. Cempaka No. 4
Kota Administrasi Jakarta Pusat, JT 20397",Kristen,cerai,Tidak Bekerja,WNA
3389756424261696,Safina Utama,Pasuruan,1976-08-29,Perempuan,B,"Jalan Dr. Djunjunan No. 9
Dumai, DKI Jakarta 52833",Konghucu,cerai,PNS,WNA
5558133184908951,Natalia Permadi,Subulussalam,1924-05-24,Laki-Laki,B,"Jl. Laswi No. 6
Pematangsiantar, Jawa Timur 88568",Katolik,cerai,Karyawan Swasta,WNI
0520830568488963,Jamalia Lestari,Dumai,2005-01-15,Laki-Laki,O,"Gang Rajawali Barat No. 0
Tangerang, SU 38848",Buddha,belum menikah,Pelajar,WNA
3660536358039604,Baktiono Yuniar,Bontang,1950-04-23,Perempuan,A,"Jl. Peta No. 29
Jambi, BT 47685",Kristen,belum menikah,Mahasiswa,WNI
5882841043619091,R.M. Mitra Mahendra,Tanjungpinang,1981-10-01,Perempuan,AB,"Jalan Asia Afrika No. 5
Bima, SG 55081",Kristen,menikah,PNS,WNI
4002436098657474,R.M. Vero Wahyuni,Bima,1981-03-01,Perempuan,O,"Jalan Kutisari Selatan No. 878
Serang, Jawa Timur 53131",Islam,belum menikah,Mahasiswa,WNI
4836750613639182,"Sutan Opan Kusmawati, M.Ak",Surakarta,1909-04-29,Perempuan,A,"Jalan Suryakencana No. 9
Kendari, JB 66936",Buddha,menikah,Pelajar,WNA
2507128190240243,"Kasiyah Wijaya, S.Pd",Lhokseumawe,1980-01-09,Perempuan,B,"Gg. Gardujati No. 4
Cilegon, Sumatera Utara 97054",Islam,menikah,Wiraswasta,WNI
6535370144117987,Paris Siregar,Bandar Lampung,1921-09-28,Laki-Laki,AB,"Jl. Joyoboyo No. 40
Tomohon, SU 51397",Kristen,menikah,Wiraswasta,WNA
